,k,observed kmers,possible kmers
0,1.0,3.0,4.0
1,2.0,5.0,8.0
2,3.0,6.0,7.0
3,4.0,6.0,6.0
4,5.0,5.0,5.0
5,6.0,4.0,4.0
6,7.0,3.0,3.0
7,8.0,2.0,2.0
8,9.0,1.0,1.0
Total,,35.0,40.0
,k,observed kmers,possible kmers
0,1.0,4.0,4.0
1,2.0,7.0,8.0
2,3.0,7.0,7.0
3,4.0,6.0,6.0
4,5.0,5.0,5.0
5,6.0,4.0,4.0
6,7.0,3.0,3.0
7,8.0,2.0,2.0
8,9.0,1.0,1.0
Total,,39.0,40.0
,k,observed kmers,possible kmers
0,1.0,4.0,4.0
1,2.0,7.0,8.0
2,3.0,7.0,7.0
3,4.0,6.0,6.0
4,5.0,5.0,5.0
5,6.0,4.0,4.0
6,7.0,3.0,3.0
7,8.0,2.0,2.0
8,9.0,1.0,1.0
Total,,39.0,40.0
,k,observed kmers,possible kmers
0,1.0,4.0,4.0
1,2.0,8.0,8.0
2,3.0,7.0,7.0
3,4.0,6.0,6.0
4,5.0,5.0,5.0
5,6.0,4.0,4.0
6,7.0,3.0,3.0
7,8.0,2.0,2.0
8,9.0,1.0,1.0
Total,,40.0,40.0
